exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
16,24,Beginner,Beginner,r1,r1,c1,c1,0.9862551180173632,0.743421533310587,0.9821951220380365,0.9106967935772646,0.6343363172249809
16,27,Beginner,Beginner,r1,r1,c1,c1,0.9859505058270654,0.8206836314681922,0.9832917158965218,0.9556876139836584,0.7399355877616747
16,33,Beginner,Beginner,r1,r1,c1,c1,0.9858397923529147,0.8377490508305943,0.9827315315238299,0.8231021820134371,0.7235125448028674
16,36,Beginner,Beginner,r1,r1,c1,c1,0.9849670870203617,0.6532204049045269,0.9772930933962574,0.8974255495098017,0.6742857142857143
16,40,Beginner,Beginner,r1,r1,c1,c1,0.9866426817497063,0.8763558589771883,0.9850053472570977,0.8281026238445529,0.736842105263158
24,27,Beginner,Beginner,r1,r1,c1,c1,0.9862041072833827,0.8901350463458242,0.9854046803954254,0.9259292052800224,0.6807760141093475
24,33,Beginner,Beginner,r1,r1,c1,c1,0.9882755889683319,0.9046972792284089,0.9867137104406005,0.8424681721386436,0.6936119436119437
24,36,Beginner,Beginner,r1,r1,c1,c1,0.9833472531670266,0.645852423285153,0.9751202706014931,0.9308609175753331,0.5430346978808246
24,40,Beginner,Beginner,r1,r1,c1,c1,0.9896299658495342,0.9192272017120873,0.9885820692812074,0.9245722591575702,0.657992565055762
25,28,Beginner,Beginner,r1,r1,c2,c2,0.9870783056868625,0.8832388559300836,0.9848716981246848,0.9030132520776709,0.7508865248226951
25,37,Beginner,Beginner,r1,r1,c2,c2,0.9857087405737013,0.8756043892085634,0.9851860318616988,0.9511521079929396,0.7564832384566731
25,38,Beginner,Beginner,r1,r1,c2,c2,0.9833691335539497,0.7616213525198379,0.969831707194026,0.9417855172984376,0.7556818181818182
25,41,Beginner,Beginner,r1,r1,c2,c2,0.9873422672967783,0.8583840030638991,0.9867572882734602,0.9209024208689716,0.7158273381294964
25,43,Beginner,Beginner,r1,r1,c2,c2,0.9850654280449371,0.8594836375966449,0.9856660834612725,0.9485908130808416,0.7155459823937067
25,47,Beginner,Beginner,r1,r1,c2,c2,0.9877601214974476,0.9005149959873608,0.9854215302138085,0.941294066025403,0.7283186297270804
25,48,Beginner,Beginner,r1,r1,c2,c2,0.9873125641407522,0.8846265031952825,0.9848502666241564,0.9442458805673293,0.7665634674922601
25,50,Beginner,Beginner,r1,r1,c2,c2,0.986307734862726,0.880347203892794,0.9846420140726583,0.9373793580561424,0.747423732272217
25,52,Beginner,Beginner,r1,r1,c2,c2,0.9833612177206597,0.8078667618617761,0.9821888987369062,0.9079611339935866,0.7430153408513664
26,29,Beginner,Beginner,r1,r1,c3,c3,0.98334292157961,0.8358348116696035,0.9828113686754096,0.9386561501283818,0.7394750254841997
26,30,Beginner,Beginner,r1,r1,c3,c3,0.9839861151099862,0.7794866270221181,0.9823269734962684,0.8927558482494743,0.7160739742613315
26,39,Beginner,Beginner,r1,r1,c3,c3,0.9847482608148026,0.9153142877727457,0.9835782504448508,0.926445191122467,0.6950350949628407
26,46,Beginner,Beginner,r1,r1,c3,c3,0.9877647765094781,0.870837161794019,0.9839652238826178,0.9084076024745711,0.7359126984126984
26,9,Beginner,Beginner,r1,r1,c3,c3,0.9857445448741096,0.8436738069266082,0.9833257470719013,0.9155685663481241,0.7091962524654832
27,33,Beginner,Beginner,r1,r1,c1,c1,0.9892201606250388,0.9223820963692394,0.9863787694005322,0.9216585343660717,0.7661813992459154
27,36,Beginner,Beginner,r1,r1,c1,c1,0.9803826147511397,0.6534784016599748,0.9741064586166206,0.9328886003843914,0.7285714285714284
27,40,Beginner,Beginner,r1,r1,c1,c1,0.9864036386061815,0.9056405904695753,0.9877448826612512,0.9023450912435012,0.7456140350877194
28,37,Beginner,Beginner,r1,r1,c2,c2,0.9867647035295922,0.8786622129356388,0.9848173108386419,0.934682819015565,0.7188422182194458
28,38,Beginner,Beginner,r1,r1,c2,c2,0.9846738979082577,0.8111790412493072,0.977595788305956,0.952286056542606,0.7618667293085899
28,41,Beginner,Beginner,r1,r1,c2,c2,0.9873723706822846,0.8219006234954563,0.9840808859905885,0.8412800733733543,0.6929379573264465
28,43,Beginner,Beginner,r1,r1,c2,c2,0.9872909244028926,0.8328020247085139,0.9859183405805085,0.9043868567776064,0.7431506849315068
