exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
10,4,5,0.9919785704875049,0.7363359998040873,0.988081086868558,0.8647553039363614,0.6939799331103679
10,6,5,0.9919176185664422,0.6959953335781883,0.989605822291634,0.9398403505525175,0.6622807017543859
10,16,5,0.9933291834065592,0.715890924034269,0.9899590600539987,0.9296252171093745,0.6765475152571927
10,17,5,0.9908862111276763,0.6483260502508112,0.9871177595352598,0.9319824877361579,0.6551724137931034
10,19,5,0.9901697715511095,0.7495932052738167,0.9874927943754018,0.9161462362493769,0.6086956521739131
10,20,5,0.9905386448443066,0.7437548295598484,0.9868468604088065,0.9273514569024098,0.6809090909090909
10,24,5,0.992860749913681,0.737742250215442,0.9889425968295641,0.9062826858138053,0.6346153846153847
10,25,5,0.9931285735576334,0.6180517299793085,0.9917477788657811,0.8543443888766942,0.6774193548387097
10,32,5,0.9936215057230927,0.7524076921988369,0.9909755011593042,0.9453133721489188,0.6774193548387097
10,33,5,0.989058473790824,0.7291145866489988,0.9866718089136761,0.8701927094312566,0.6296296296296298
10,40,5,0.9894819333820332,0.7911966699325435,0.9824382384803991,0.8750776787758369,0.681390977443609
10,42,5,0.9903780312644582,0.6220396834587141,0.9862268830177593,0.9166743045711104,0.5813953488372094
10,47,5,0.9890335628283691,0.7316369725021931,0.9851790967800342,0.8769873376961477,0.6590909090909092
10,51,5,0.9932452066171122,0.6813482723211675,0.9903825394528496,0.8990969391678164,0.6414285714285713
10,53,5,0.9907528132088442,0.797406639372465,0.9867707992718456,0.9314817658011012,0.6666666666666666
10,54,5,0.9875809469592189,0.7872290327210294,0.9812094677617594,0.8580851528459686,0.5999999999999999
10,55,5,0.9931908843442488,0.6782174345775265,0.9906642194749513,0.9261815861814333,0.5827114427860696
10,57,5,0.9918523021027308,0.712137301418611,0.988108061242186,0.9098825905577408,0.6956521739130435
10,61,5,0.9931651141438094,0.6432093298646906,0.9918108397759919,0.8756188963609813,0.6486676016830295
10,62,5,0.9911527988973623,0.6813525182296096,0.9858520275321878,0.9359080927570291,0.6799999999999999
10,66,5,0.9916602781533024,0.7220102117219918,0.9874474672280101,0.8884162656315493,0.6896551724137931
10,70,5,0.9911841081787014,0.7219860009791517,0.9893825265221051,0.927974519039951,0.6260282021151586
10,73,5,0.9897372875822907,0.6804041032734185,0.9853025115189975,0.8930417416756652,0.65625
10,75,5,0.9882768629764713,0.7365156664774632,0.9824102457259132,0.8726120284793302,0.6578947368421053
10,81,5,0.9908213930003519,0.7378934929275551,0.9893677926551908,0.926528486389535,0.6666666666666667
10,83,5,0.9913086184251929,0.6967812454152831,0.9872130237083737,0.8710630401624448,0.7272727272727273
10,84,5,0.9928106052750665,0.6933735253964823,0.9908273356666578,0.8495740796561557,0.6933760683760684
10,88,5,0.9907761500899783,0.6936620295733245,0.9876187779838121,0.9109472960471928,0.5962962962962963
10,89,5,0.9914077624484956,0.7058137655471801,0.9885687106361779,0.8813919742362067,0.6422480620155039
10,91,5,0.9911478545407547,0.8071168895768388,0.9857864871440714,0.8908703424846834,0.5596491228070176
10,97,5,0.9907109038711894,0.7678017152404162,0.9883729258049495,0.8914964511842514,0.6381818181818182
10,105,5,0.9934903344279092,0.6978907575535638,0.9909810669592387,0.9326814972047024,0.6809090909090909
10,108,5,0.991745390510923,0.7023426315099313,0.988298905038353,0.9071302972728532,0.6324561403508773
10,109,5,0.9896008802792439,0.7407261689060558,0.986007939024209,0.8892552705908939,0.6521739130434783
10,115,5,0.9912505191065372,0.694262712443222,0.9875477367861891,0.9097745712803431,0.6744186046511629
10,117,5,0.9914610073700788,0.6871095386191487,0.987057044066162,0.8882633144944068,0.6666666666666667
10,121,5,0.9932063716619941,0.65598776922079,0.9910386686884609,0.8853532413453009,0.6956521739130435
10,133,5,0.9926863417317423,0.6398970319660322,0.9904693025714608,0.9303213499495459,0.6333333333333333
10,135,5,0.9901474634724959,0.6550149704726158,0.9857667085233613,0.8692295615524568,0.6774193548387097
10,142,5,0.9939797435495785,0.6706254060153933,0.9915198094896231,0.8890315252118637,0.6470588235294119
10,143,5,0.989383363566715,0.7759302144018458,0.9855130587728865,0.8990681706104622,0.5778225806451612
10,145,5,0.9929055520911246,0.7238656952577245,0.9910997730158256,0.9416987409419098,0.6666666666666666
10,147,5,0.9895244787925259,0.7052310749732158,0.9857516654835354,0.9492074900482157,0.653846153846154
10,151,5,0.9948905794678153,0.6225990693351361,0.9925988904276583,0.8838858459042604,0.6578947368421053
10,155,5,0.9913559213436536,0.7095199653354943,0.9895797086983957,0.8750283296684264,0.6333333333333333
10,158,5,0.9925351200844591,0.7143159832406705,0.9879830292576387,0.940672391667278,0.6451612903225807
10,166,5,0.9895944237123879,0.7265956898750021,0.984120247523414,0.8628391217606372,0.6944444444444445
10,168,5,0.9907882965916611,0.6800935919891076,0.9871313190891574,0.8995016433657395,0.6343582887700534
10,169,5,0.9881612830961292,0.6744306439713434,0.9835419612174482,0.9052653893029367,0.6666666666666666
10,171,5,0.9924050254326694,0.7067533580596097,0.9894377697650094,0.915898380124507,0.6153846153846154
10,192,5,0.99011734819645,0.7766871454522188,0.9854352098823504,0.9369703795971702,0.6046511627906976
10,202,5,0.990603739477333,0.6541145565213221,0.9871687016513937,0.9018361982703862,0.6666666666666666
