exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
48,10,5,high,low,0.9911675482636626,0.7711125790272015,0.9873982450531216,0.9116311422206907,0.660919540229885,Java_high_Java_low_results.csv
48,13,5,high,low,0.9917290640025156,0.6672705914796052,0.9881328641907894,0.9072640540989864,0.5833333333333333,Java_high_Java_low_results.csv
48,21,5,high,low,0.99196788225433,0.707342366542483,0.9882866185290152,0.9364334918032418,0.7097222222222223,Java_high_Java_low_results.csv
48,27,5,high,low,0.9917897436677322,0.7319712375471896,0.9883690528974316,0.8730930476254222,0.7613636363636364,Java_high_Java_low_results.csv
48,29,5,high,low,0.9916632866056352,0.6946571322685068,0.9892296595227458,0.8962344773882692,0.6666666666666667,Java_high_Java_low_results.csv
48,31,5,high,low,0.9933533578047152,0.7065456035237643,0.9929868775071,0.9017065747481164,0.6984848484848485,Java_high_Java_low_results.csv
48,34,5,high,low,0.9925920462008824,0.7334330865358343,0.9897424217548424,0.8702109379868098,0.6410256410256411,Java_high_Java_low_results.csv
48,35,5,high,low,0.9895656909246788,0.7000210556513655,0.9842723603943568,0.8952336783499605,0.4480286738351254,Java_high_Java_low_results.csv
48,37,5,high,low,0.9925644001665408,0.7201439335350124,0.990539314808396,0.9449404748660948,0.6428571428571428,Java_high_Java_low_results.csv
48,41,5,high,low,0.9939554563723092,0.690744597736813,0.9930384911586484,0.910293555203854,0.6666666666666667,Java_high_Java_low_results.csv
48,43,5,high,low,0.992445028766774,0.699243410428942,0.989672160226004,0.9374579137425042,0.6399999999999999,Java_high_Java_low_results.csv
48,44,5,high,low,0.9934731767320076,0.7275360008364684,0.9914003213234532,0.8646375218776756,0.7,Java_high_Java_low_results.csv
48,56,5,high,low,0.9929934061294144,0.7606752529362885,0.991726808337254,0.8734206010295479,0.5823643410852714,Java_high_Java_low_results.csv
48,60,5,high,low,0.9908339717922304,0.7687574019460681,0.9878457607061336,0.8596805980609581,0.6440092165898618,Java_high_Java_low_results.csv
48,63,5,high,low,0.990679724435142,0.7097146424321064,0.9854652204646248,0.9124550958897653,0.6363636363636364,Java_high_Java_low_results.csv
48,64,5,high,low,0.9910657994919032,0.6979792152777622,0.9869586819376808,0.8886032917260087,0.6809090909090909,Java_high_Java_low_results.csv
48,65,5,high,low,0.9904845479920256,0.7140586273227125,0.9866710329233686,0.9283656671045946,0.7619047619047619,Java_high_Java_low_results.csv
48,74,5,high,low,0.9910040944434104,0.7129216915249597,0.9868841063508702,0.8766316621444856,0.6801948051948052,Java_high_Java_low_results.csv
48,77,5,high,low,0.992044848656386,0.6700287828284197,0.988917666694071,0.9271825247467904,0.6086956521739131,Java_high_Java_low_results.csv
48,78,5,high,low,0.9932075730990468,0.7279795304148157,0.9902613414678884,0.9174121271350412,0.7017543859649122,Java_high_Java_low_results.csv
48,79,5,high,low,0.993605576983782,0.7420564224012278,0.991851223777972,0.8771974260723677,0.6785714285714286,Java_high_Java_low_results.csv
48,94,5,high,low,0.9920218128827272,0.7020010499084925,0.989804151735304,0.9090604954772916,0.5999999999999999,Java_high_Java_low_results.csv
48,99,5,high,low,0.994260320561932,0.6844940094876824,0.9931660007687652,0.9069477752811848,0.75,Java_high_Java_low_results.csv
48,101,5,high,low,0.9921583753175413,0.6723533922795784,0.9868438516432496,0.8946958064213251,0.6956521739130435,Java_high_Java_low_results.csv
48,104,5,high,low,0.990092993585218,0.7145123617179745,0.9864863298032588,0.9017237549129192,0.7777777777777779,Java_high_Java_low_results.csv
48,114,5,high,low,0.9925923224390096,0.7675912236910141,0.9913558705976792,0.9346483364559692,0.6666666666666666,Java_high_Java_low_results.csv
48,124,5,high,low,0.9928052074487844,0.7141674454359395,0.990952983739624,0.9514744931510396,0.7752525252525253,Java_high_Java_low_results.csv
48,126,5,high,low,0.9927113855874028,0.6902638447151752,0.9907608993370484,0.907684932348804,0.6923076923076923,Java_high_Java_low_results.csv
48,128,5,high,low,0.9918666718847792,0.6783999164354062,0.987024165258928,0.9084143075903384,0.6956521739130435,Java_high_Java_low_results.csv
48,132,5,high,low,0.9931265064060636,0.7174536059314143,0.9908168495752868,0.9284081333801965,0.7619047619047619,Java_high_Java_low_results.csv
48,139,5,high,low,0.9924326915294857,0.7422137654558196,0.9894414182725572,0.9169179074641006,0.5555555555555556,Java_high_Java_low_results.csv
48,140,5,high,low,0.9924027591663672,0.7805661658514668,0.991273824124906,0.9387072665125672,0.7214439655172413,Java_high_Java_low_results.csv
