exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
51,45,Intermediate,Intermediate,r1,r3,c1,c1,0.6363636363636364
53,15,Intermediate,Intermediate,r1,r3,c1,c1,0.8853503184713376
53,17,Intermediate,Intermediate,r1,r3,c1,c1,0.8152866242038217
53,42,Intermediate,Intermediate,r1,r3,c1,c1,0.8726114649681529
53,45,Intermediate,Intermediate,r1,r3,c1,c1,0.821656050955414
10,15,Intermediate,Intermediate,r2,r2,c2,c2,0.673469387755102
10,18,Intermediate,Intermediate,r2,r2,c2,c2,0.6054421768707483
10,21,Intermediate,Intermediate,r2,r2,c2,c2,0.7114093959731543
10,32,Intermediate,Intermediate,r2,r2,c2,c2,0.7278911564625851
10,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6802721088435374
10,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6870748299319728
10,53,Intermediate,Intermediate,r2,r2,c2,c2,0.5704697986577181
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.6530612244897959
11,13,Intermediate,Intermediate,r2,r2,c1,c1,0.7482993197278912
11,19,Intermediate,Intermediate,r2,r2,c1,c1,0.6462585034013606
11,23,Intermediate,Intermediate,r2,r2,c1,c1,0.5918367346938775
11,44,Intermediate,Intermediate,r2,r2,c1,c1,0.5510204081632653
12,19,Intermediate,Intermediate,r2,r2,c1,c1,0.636986301369863
12,20,Intermediate,Intermediate,r2,r2,c1,c1,0.5238095238095238
12,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6940298507462687
12,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6153846153846154
12,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6190476190476191
13,19,Intermediate,Intermediate,r2,r2,c1,c1,0.726027397260274
13,20,Intermediate,Intermediate,r2,r2,c1,c1,0.5702479338842975
13,23,Intermediate,Intermediate,r2,r2,c1,c1,0.753731343283582
13,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6602564102564102
13,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6598639455782312
14,17,Intermediate,Intermediate,r2,r2,c3,c3,0.5506329113924051
14,31,Intermediate,Intermediate,r2,r2,c3,c3,0.5443037974683544
14,51,Intermediate,Intermediate,r2,r2,c3,c3,0.689873417721519
15,18,Intermediate,Intermediate,r2,r2,c2,c2,0.6086956521739131
15,21,Intermediate,Intermediate,r2,r2,c2,c2,0.5973154362416108
15,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6183206106870229
15,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6106870229007634
15,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6056338028169014
15,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6375838926174496
17,31,Intermediate,Intermediate,r2,r2,c3,c3,0.5704225352112676
17,42,Intermediate,Intermediate,r2,r2,c3,c3,0.6403508771929824
17,51,Intermediate,Intermediate,r2,r2,c3,c3,0.6532258064516129
18,21,Intermediate,Intermediate,r2,r2,c2,c2,0.5033557046979866
18,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6304347826086957
18,32,Intermediate,Intermediate,r2,r2,c2,c2,0.6884057971014492
18,35,Intermediate,Intermediate,r2,r2,c2,c2,0.5797101449275363
18,53,Intermediate,Intermediate,r2,r2,c2,c2,0.5838926174496645
19,20,Intermediate,Intermediate,r2,r2,c1,c1,0.6095890410958904
19,23,Intermediate,Intermediate,r2,r2,c1,c1,0.5821917808219178
19,34,Intermediate,Intermediate,r2,r2,c1,c1,0.5641025641025641
20,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6865671641791045
20,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6258503401360545
21,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6577181208053692
21,32,Intermediate,Intermediate,r2,r2,c2,c2,0.697986577181208
21,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6241610738255033
21,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6778523489932886
22,32,Intermediate,Intermediate,r2,r2,c2,c2,0.6870229007633588
22,35,Intermediate,Intermediate,r2,r2,c2,c2,0.7709923664122137
22,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6901408450704225
23,34,Intermediate,Intermediate,r2,r2,c1,c1,0.5833333333333334
31,42,Intermediate,Intermediate,r2,r2,c3,c3,0.5070422535211268
32,45,Intermediate,Intermediate,r2,r2,c2,c2,0.7253521126760564
32,53,Intermediate,Intermediate,r2,r2,c2,c2,0.7046979865771812
35,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6408450704225352
45,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6442953020134228
10,11,Intermediate,Intermediate,r2,r3,c2,c2,0.5782312925170068
10,23,Intermediate,Intermediate,r2,r3,c2,c2,0.5578231292517006
10,31,Intermediate,Intermediate,r2,r3,c2,c2,0.5102040816326531
11,15,Intermediate,Intermediate,r2,r3,c1,c1,0.7619047619047619
11,17,Intermediate,Intermediate,r2,r3,c1,c1,0.5986394557823129
11,21,Intermediate,Intermediate,r2,r3,c1,c1,0.5850340136054422
11,22,Intermediate,Intermediate,r2,r3,c1,c1,0.7210884353741497
11,42,Intermediate,Intermediate,r2,r3,c1,c1,0.782312925170068
12,14,Intermediate,Intermediate,r2,r3,c1,c1,0.6124031007751938
12,15,Intermediate,Intermediate,r2,r3,c1,c1,0.6746031746031746
12,17,Intermediate,Intermediate,r2,r3,c1,c1,0.6587301587301587
12,21,Intermediate,Intermediate,r2,r3,c1,c1,0.5826771653543307
12,22,Intermediate,Intermediate,r2,r3,c1,c1,0.7153846153846154
13,14,Intermediate,Intermediate,r2,r3,c1,c1,0.7054263565891473
13,15,Intermediate,Intermediate,r2,r3,c1,c1,0.624
13,21,Intermediate,Intermediate,r2,r3,c1,c1,0.6692913385826772
13,42,Intermediate,Intermediate,r2,r3,c1,c1,0.7094017094017094
13,45,Intermediate,Intermediate,r2,r3,c1,c1,0.7024793388429752
14,12,Intermediate,Intermediate,r2,r3,c3,c3,0.569620253164557
14,13,Intermediate,Intermediate,r2,r3,c3,c3,0.8037974683544303
14,18,Intermediate,Intermediate,r2,r3,c3,c3,0.5949367088607594
14,34,Intermediate,Intermediate,r2,r3,c3,c3,0.6455696202531646
15,11,Intermediate,Intermediate,r2,r3,c2,c2,0.5939849624060151
15,19,Intermediate,Intermediate,r2,r3,c2,c2,0.6296296296296297
15,23,Intermediate,Intermediate,r2,r3,c2,c2,0.6752136752136753
15,44,Intermediate,Intermediate,r2,r3,c2,c2,0.6496350364963503
15,51,Intermediate,Intermediate,r2,r3,c2,c2,0.635593220338983
17,13,Intermediate,Intermediate,r2,r3,c3,c3,0.7280701754385965
17,18,Intermediate,Intermediate,r2,r3,c3,c3,0.5681818181818182
17,32,Intermediate,Intermediate,r2,r3,c3,c3,0.5258620689655172
17,53,Intermediate,Intermediate,r2,r3,c3,c3,0.6209150326797386
