exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
16,24,Beginner,Beginner,r1,r1,c1,c1,0.7380952380952381
16,27,Beginner,Beginner,r1,r1,c1,c1,0.7
16,33,Beginner,Beginner,r1,r1,c1,c1,0.7933333333333333
16,36,Beginner,Beginner,r1,r1,c1,c1,0.8412698412698413
16,40,Beginner,Beginner,r1,r1,c1,c1,0.9037037037037037
24,27,Beginner,Beginner,r1,r1,c1,c1,0.7133333333333334
24,33,Beginner,Beginner,r1,r1,c1,c1,0.7333333333333333
24,36,Beginner,Beginner,r1,r1,c1,c1,0.8067226890756303
24,40,Beginner,Beginner,r1,r1,c1,c1,0.8074074074074075
25,28,Beginner,Beginner,r1,r1,c2,c2,0.7012987012987013
25,37,Beginner,Beginner,r1,r1,c2,c2,0.6948051948051948
25,38,Beginner,Beginner,r1,r1,c2,c2,0.8376623376623377
25,41,Beginner,Beginner,r1,r1,c2,c2,0.7272727272727273
25,43,Beginner,Beginner,r1,r1,c2,c2,0.6168831168831169
25,47,Beginner,Beginner,r1,r1,c2,c2,0.6883116883116883
25,48,Beginner,Beginner,r1,r1,c2,c2,0.7484276729559748
25,52,Beginner,Beginner,r1,r1,c2,c2,0.7662337662337663
26,29,Beginner,Beginner,r1,r1,c3,c3,0.6602564102564102
26,30,Beginner,Beginner,r1,r1,c3,c3,0.782051282051282
26,39,Beginner,Beginner,r1,r1,c3,c3,0.6987179487179487
26,46,Beginner,Beginner,r1,r1,c3,c3,0.7243589743589743
26,9,Beginner,Beginner,r1,r1,c3,c3,0.7435897435897436
27,33,Beginner,Beginner,r1,r1,c1,c1,0.82
27,36,Beginner,Beginner,r1,r1,c1,c1,0.8666666666666667
27,40,Beginner,Beginner,r1,r1,c1,c1,0.8066666666666666
28,37,Beginner,Beginner,r1,r1,c2,c2,0.743801652892562
28,38,Beginner,Beginner,r1,r1,c2,c2,0.7570093457943925
28,41,Beginner,Beginner,r1,r1,c2,c2,0.8217054263565892
28,43,Beginner,Beginner,r1,r1,c2,c2,0.7723577235772358
28,47,Beginner,Beginner,r1,r1,c2,c2,0.5983606557377049
28,48,Beginner,Beginner,r1,r1,c2,c2,0.710691823899371
28,50,Beginner,Beginner,r1,r1,c2,c2,0.5700934579439252
28,52,Beginner,Beginner,r1,r1,c2,c2,0.7410714285714286
29,30,Beginner,Beginner,r1,r1,c3,c3,0.773109243697479
29,39,Beginner,Beginner,r1,r1,c3,c3,0.7014925373134329
29,46,Beginner,Beginner,r1,r1,c3,c3,0.7235772357723578
29,9,Beginner,Beginner,r1,r1,c3,c3,0.7448275862068966
30,39,Beginner,Beginner,r1,r1,c3,c3,0.753731343283582
30,46,Beginner,Beginner,r1,r1,c3,c3,0.7154471544715447
30,9,Beginner,Beginner,r1,r1,c3,c3,0.7517241379310344
33,36,Beginner,Beginner,r1,r1,c1,c1,0.8733333333333333
36,40,Beginner,Beginner,r1,r1,c1,c1,0.8740740740740741
37,38,Beginner,Beginner,r1,r1,c2,c2,0.8099173553719008
37,41,Beginner,Beginner,r1,r1,c2,c2,0.7596899224806202
37,43,Beginner,Beginner,r1,r1,c2,c2,0.7967479674796748
37,47,Beginner,Beginner,r1,r1,c2,c2,0.7295081967213115
37,48,Beginner,Beginner,r1,r1,c2,c2,0.6981132075471698
37,52,Beginner,Beginner,r1,r1,c2,c2,0.8925619834710744
38,41,Beginner,Beginner,r1,r1,c2,c2,0.8604651162790697
38,43,Beginner,Beginner,r1,r1,c2,c2,0.8617886178861789
38,47,Beginner,Beginner,r1,r1,c2,c2,0.7622950819672131
38,48,Beginner,Beginner,r1,r1,c2,c2,0.8490566037735849
38,50,Beginner,Beginner,r1,r1,c2,c2,0.7373737373737373
38,52,Beginner,Beginner,r1,r1,c2,c2,0.8035714285714286
39,46,Beginner,Beginner,r1,r1,c3,c3,0.7611940298507462
41,43,Beginner,Beginner,r1,r1,c2,c2,0.7441860465116279
41,47,Beginner,Beginner,r1,r1,c2,c2,0.7984496124031008
41,50,Beginner,Beginner,r1,r1,c2,c2,0.7829457364341085
43,47,Beginner,Beginner,r1,r1,c2,c2,0.7642276422764228
43,50,Beginner,Beginner,r1,r1,c2,c2,0.7398373983739838
46,9,Beginner,Beginner,r1,r1,c3,c3,0.7172413793103448
47,50,Beginner,Beginner,r1,r1,c2,c2,0.5819672131147541
47,52,Beginner,Beginner,r1,r1,c2,c2,0.7540983606557377
48,50,Beginner,Beginner,r1,r1,c2,c2,0.660377358490566
48,52,Beginner,Beginner,r1,r1,c2,c2,0.8238993710691824
50,52,Beginner,Beginner,r1,r1,c2,c2,0.7857142857142857
