exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
10,15,Intermediate,Intermediate,r2,r2,c2,c2,0.673469387755102
10,18,Intermediate,Intermediate,r2,r2,c2,c2,0.6054421768707483
10,21,Intermediate,Intermediate,r2,r2,c2,c2,0.7114093959731543
10,32,Intermediate,Intermediate,r2,r2,c2,c2,0.7278911564625851
10,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6802721088435374
10,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6870748299319728
10,53,Intermediate,Intermediate,r2,r2,c2,c2,0.5704697986577181
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.6530612244897959
11,13,Intermediate,Intermediate,r2,r2,c1,c1,0.7482993197278912
11,19,Intermediate,Intermediate,r2,r2,c1,c1,0.6462585034013606
11,20,Intermediate,Intermediate,r2,r2,c1,c1,0.7142857142857143
11,23,Intermediate,Intermediate,r2,r2,c1,c1,0.5918367346938775
11,34,Intermediate,Intermediate,r2,r2,c1,c1,0.5961538461538461
11,44,Intermediate,Intermediate,r2,r2,c1,c1,0.5510204081632653
12,13,Intermediate,Intermediate,r2,r2,c1,c1,0.6428571428571429
12,19,Intermediate,Intermediate,r2,r2,c1,c1,0.636986301369863
12,20,Intermediate,Intermediate,r2,r2,c1,c1,0.5238095238095238
12,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6940298507462687
12,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6153846153846154
12,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6190476190476191
13,19,Intermediate,Intermediate,r2,r2,c1,c1,0.726027397260274
13,20,Intermediate,Intermediate,r2,r2,c1,c1,0.5702479338842975
13,23,Intermediate,Intermediate,r2,r2,c1,c1,0.753731343283582
13,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6602564102564102
13,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6598639455782312
14,17,Intermediate,Intermediate,r2,r2,c3,c3,0.5506329113924051
14,31,Intermediate,Intermediate,r2,r2,c3,c3,0.5443037974683544
14,42,Intermediate,Intermediate,r2,r2,c3,c3,0.6518987341772152
14,51,Intermediate,Intermediate,r2,r2,c3,c3,0.689873417721519
15,18,Intermediate,Intermediate,r2,r2,c2,c2,0.6086956521739131
15,21,Intermediate,Intermediate,r2,r2,c2,c2,0.5973154362416108
15,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6183206106870229
15,32,Intermediate,Intermediate,r2,r2,c2,c2,0.7
15,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6106870229007634
15,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6056338028169014
15,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6375838926174496
17,31,Intermediate,Intermediate,r2,r2,c3,c3,0.5704225352112676
17,42,Intermediate,Intermediate,r2,r2,c3,c3,0.6403508771929824
17,51,Intermediate,Intermediate,r2,r2,c3,c3,0.6532258064516129
18,21,Intermediate,Intermediate,r2,r2,c2,c2,0.5033557046979866
18,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6304347826086957
18,32,Intermediate,Intermediate,r2,r2,c2,c2,0.6884057971014492
18,35,Intermediate,Intermediate,r2,r2,c2,c2,0.5797101449275363
18,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6830985915492958
18,53,Intermediate,Intermediate,r2,r2,c2,c2,0.5838926174496645
19,20,Intermediate,Intermediate,r2,r2,c1,c1,0.6095890410958904
19,23,Intermediate,Intermediate,r2,r2,c1,c1,0.5821917808219178
19,34,Intermediate,Intermediate,r2,r2,c1,c1,0.5641025641025641
19,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6666666666666666
20,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6865671641791045
20,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6258503401360545
21,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6577181208053692
21,32,Intermediate,Intermediate,r2,r2,c2,c2,0.697986577181208
21,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6241610738255033
21,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6778523489932886
22,32,Intermediate,Intermediate,r2,r2,c2,c2,0.6870229007633588
22,35,Intermediate,Intermediate,r2,r2,c2,c2,0.7709923664122137
22,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6901408450704225
23,34,Intermediate,Intermediate,r2,r2,c1,c1,0.5833333333333334
31,42,Intermediate,Intermediate,r2,r2,c3,c3,0.5070422535211268
31,51,Intermediate,Intermediate,r2,r2,c3,c3,0.6971830985915493
32,45,Intermediate,Intermediate,r2,r2,c2,c2,0.7253521126760564
32,53,Intermediate,Intermediate,r2,r2,c2,c2,0.7046979865771812
35,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6408450704225352
42,51,Intermediate,Intermediate,r2,r2,c3,c3,0.6854838709677419
45,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6442953020134228
10,26,Intermediate,Beginner,r2,r2,c2,c2,0.6122448979591837
11,30,Intermediate,Beginner,r2,r2,c1,c1,0.7210884353741497
11,37,Intermediate,Beginner,r2,r2,c1,c1,0.5306122448979592
11,39,Intermediate,Beginner,r2,r2,c1,c1,0.54421768707483
11,43,Intermediate,Beginner,r2,r2,c1,c1,0.5850340136054422
12,30,Intermediate,Beginner,r2,r2,c1,c1,0.6159420289855072
12,37,Intermediate,Beginner,r2,r2,c1,c1,0.6349206349206349
12,39,Intermediate,Beginner,r2,r2,c1,c1,0.6111111111111112
12,47,Intermediate,Beginner,r2,r2,c1,c1,0.7063492063492064
12,50,Intermediate,Beginner,r2,r2,c1,c1,0.5925925925925926
12,9,Intermediate,Beginner,r2,r2,c1,c1,0.6267605633802817
13,37,Intermediate,Beginner,r2,r2,c1,c1,0.7068965517241379
13,38,Intermediate,Beginner,r2,r2,c1,c1,0.6194690265486725
13,39,Intermediate,Beginner,r2,r2,c1,c1,0.6475409836065574
13,43,Intermediate,Beginner,r2,r2,c1,c1,0.7107438016528925
13,47,Intermediate,Beginner,r2,r2,c1,c1,0.7203389830508474
13,50,Intermediate,Beginner,r2,r2,c1,c1,0.562962962962963
13,9,Intermediate,Beginner,r2,r2,c1,c1,0.7183098591549296
14,24,Intermediate,Beginner,r2,r2,c3,c3,0.569620253164557
14,25,Intermediate,Beginner,r2,r2,c3,c3,0.6
14,27,Intermediate,Beginner,r2,r2,c3,c3,0.6139240506329114
14,33,Intermediate,Beginner,r2,r2,c3,c3,0.6772151898734177
14,48,Intermediate,Beginner,r2,r2,c3,c3,0.6392405063291139
14,52,Intermediate,Beginner,r2,r2,c3,c3,0.7468354430379747
15,16,Intermediate,Beginner,r2,r2,c2,c2,0.7181818181818181
15,26,Intermediate,Beginner,r2,r2,c2,c2,0.6013986013986014
15,29,Intermediate,Beginner,r2,r2,c2,c2,0.6953125
15,46,Intermediate,Beginner,r2,r2,c2,c2,0.6746031746031746
17,24,Intermediate,Beginner,r2,r2,c3,c3,0.664
